titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
#Clase 21: ¿Cúando DEBES pasar tús inmuebles a una SOCIEDAD PATRIMONIAL?,CASO REAL con Rubén que QUIERE aportar 8 inmuebles a una Patrimonial,2025-12-01T10:17:49.033Z,https://fiscalizarte.substack.com/p/clase-21-cuando-debes-pasar-tus-inmuebles,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,85f4cc9a-5a3a-4ab9-b01c-780b11351a3d | 4f49a9ea-6835-4553-b7b9-ae54fa56ff70,1626.2333 | 1626.0963,PENDIENTE,Preparado para extracción final
Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,,2025-11-28T15:58:12.087Z,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
"Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel",,2025-11-26T08:31:08.634Z,https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Esta lección te puede ahorrar 400.000 euros...,Ejemplo real de una empresa de flipping de Andalucía,2025-11-24T13:41:20.867Z,https://fiscalizarte.substack.com/p/esta-leccion-te-puede-ahorrar-400000,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
La fantasía del “me llevo la sociedad a otro país y me libro de Sucesiones”,,2025-11-19T08:27:42.519Z,https://fiscalizarte.substack.com/p/la-fantasia-del-me-llevo-la-sociedad,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
(EII) Clase sobre interpretación de Notas Simples para operaciones inmobiliarias complejas.,,2025-11-14T17:44:10.363Z,https://fiscalizarte.substack.com/p/eii-clase-sobre-interpretacion-de,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,a96eb93a-85f4-434b-8f53-98a6d4ed717e | 2c617f32-ab85-49de-a06d-1349441204bc,2209.7 | 2209.5674,PENDIENTE,Preparado para extracción final
El falso “escudo protector” de crear otra sociedad (y por qué podrías estar pagando el doble para no proteger nada).,,2025-11-12T16:25:03.842Z,https://fiscalizarte.substack.com/p/el-falso-escudo-protector-de-crear,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
 (EII) Clase sobre inversión en Subastas de la Seguridad Social.,La Escuela de Inversión Inmobiliaria.,2025-11-11T11:01:33.304Z,https://fiscalizarte.substack.com/p/eii-clase-sobre-inversion-en-subastas,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,ed447652-457e-4d26-b466-8e35d8742248 | 1b3e5250-9548-4b91-8f4a-7c608eeb4c1f,2909.1667 | 2909.048,PENDIENTE,Preparado para extracción final
Hoy inauguro algo que llevaba meses preparando...,Un proyecto para quien quiere dejar de ser espectador y empezar a invertir con criterio real.,2025-11-11T10:30:54.766Z,https://fiscalizarte.substack.com/p/hoy-inauguro-algo-que-llevaba-meses,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Ayer hubo fuego.,,2025-11-10T07:58:37.018Z,https://fiscalizarte.substack.com/p/ayer-hubo-fuego,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
